ID,SMILES,filename,activation_energy,,pka,dipole,C_Polarization,C_s,B_s,,,,,,,,,,stoichiometry,,homo_energy,lumo_energy,,electronegativity,,,,,,,,,,,,,,,Bond_Length,,,,,,Mulliken_charge_B,,NPA_charge_B,,,,,,,,,,,,,,,,,VBur_C,Mulliken_charge_C,,NPA_charge_C
sub1_A11,CC(CCCCC)(B1OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,WUUNZWTXRJAMOJ-IBGZPJMESA-N_conf_0.log,19.9,,37.28,1.983,71.97,25.64,38.92,,,,,,,,,,C19H31BO2,,-0.284,0.02887,,0.127565,,,,,,,,,,,,,,,1.580929173,,,,,,0.222349,,1.34857,,,,,,,,,,,,,,,,,0.829295154,-0.243477,,-0.46584
sub1_A12,CC(B1OC(C)(C)C(C)(C)O1)(C2=CC=CC=C2)C3=CC=CC=C3,sub1_A12_conf_0.log,11,,29.48,1.2614,72.3,25.84,38.4,,,,,,,,,,C20H25BO2,,-0.27793,0.02125,,0.12834,,,,,,,,,,,,,,,1.585342653,,,,,,0.186273,,1.34747,,,,,,,,,,,,,,,,,0.839128383,-0.184601,,-0.47615
sub1_A13,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=C(C)C=C2,sub1_A13_conf_0.log,21.5,,37.36,0.794,70.23,28.22,39.38,,,,,,,,,,C15H23BO2,,-0.2738,0.03772,,0.11804,,,,,,,,,,,,,,,1.577948193,,,,,,0.169939,,1.28794,,,,,,,,,,,,,,,,,0.68156073,-0.121492,,-0.65477
sub1_A14,CC1(C)C(C)(C)OB(C(CC)C2=CC=CC=C2)O1,sub1_A14_conf_0.log,20.3,,36.44,1.7147,70.6,27.69,39.05,,,,,,,,,,C15H23BO2,,-0.28564,0.03007,,0.127785,,,,,,,,,,,,,,,1.574600011,,,,,,0.169634,,1.30601,,,,,,,,,,,,,,,,,0.721444305,-0.043021,,-0.64982
sub1_A15,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=C(C(F)(F)F)C=C2,sub1_A15_conf_0.log,14.9,,26.98,3.5215,70.34,28.03,39.06,,,,,,,,,,C15H20BF3O2,,-0.30311,0.01221,,0.14545,,,,,,,,,,,,,,,1.579242628,,,,,,0.179774,,1.28758,,,,,,,,,,,,,,,,,0.681718062,-0.118,,-0.65286
sub1_A16,COC(C=C1)=CC=C1C(B2OC(C)(C)C(C)(C)O2)CC,sub1_A16_conf_0.log,24,,39.35,0.9791,70.48,27.73,39.27,,,,,,,,,,C16H25BO3,,-0.25918,0.03033,,0.114425,,,,,,,,,,,,,,,1.575625005,,,,,,0.170638,,1.3062,,,,,,,,,,,,,,,,,0.72057898,-0.056602,,-0.6495
sub1_A17,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=C(OCC3=CC=CC=C3)C=C2,sub1_A17_conf_0.log,22.9,,38.72,2.4686,70.38,27.03,38.83,,,,,,,,,,C21H27BO3,,-0.26268,0.02177,,0.120455,,,,,,,,,,,,,,,1.574726576,,,,,,0.16638,,1.30057,,,,,,,,,,,,,,,,,0.678807426,-0.084352,,-0.64004
sub1_A18,COC1=CC=CC=C1C(B2OC(C)(C)C(C)(C)O2)CC,sub1_A18_conf_0.log,21.5,,37.57,0.9226,70.27,29.22,39.8,,,,,,,,,,C16H25BO3,,-0.26171,0.03839,,0.11166,,,,,,,,,,,,,,,1.57549533,,,,,,0.145092,,1.30555,,,,,,,,,,,,,,,,,0.735525488,0.009496,,-0.67067
sub1_A19,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=C(O[Si](C)(C)C(C)(C)C)C=C2,sub1_A19_conf_0.log,21.1,,39.31,2.2079,70.3,27.51,39,,,,,,,,,,C20H35BO3Si,,-0.26808,0.02827,,0.119905,,,,,,,,,,,,,,,1.574462152,,,,,,0.170826,,1.29725,,,,,,,,,,,,,,,,,0.680223411,-0.07373,,-0.64354
sub1_A20,CC1(C)C(C)(C)OB(C(CC)C2=CC=CC3=C2C=CC=C3)O1,sub1_A20_conf_0.log,18.8,,32.23,1.7403,70.81,27.84,39.12,,,,,,,,,,C19H25BO2,,-0.25596,-0.00773,,0.131845,,,,,,,,,,,,,,,1.576069022,,,,,,0.175374,,1.31127,,,,,,,,,,,,,,,,,0.746381372,-0.059572,,-0.6537
sub1_A21,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=C([Si](C)(C)C)C=C2,sub1_A21_conf_0.log,17,,34.22,1.8927,70.43,26.8,38.74,,,,,,,,,,C17H29BO2Si,,-0.27972,0.02117,,0.129275,,,,,,,,,,,,,,,1.575862232,,,,,,0.167627,,1.30143,,,,,,,,,,,,,,,,,0.680380743,-0.089391,,-0.64136
sub1_A22,CC(B1OC(C)(C)C(C)(C)O1)C2=CC(C)=CC=C2,sub1_A22_conf_0.log,19.9,,36.66,1.5376,70.28,27.49,39.11,,,,,,,,,,C15H23BO2,,-0.28108,0.03158,,0.12475,,,,,,,,,,,,,,,1.575261924,,,,,,0.178652,,1.29957,,,,,,,,,,,,,,,,,0.681796728,-0.07605,,-0.64423
sub1_A23,CCCC(B1OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,sub1_A23_conf_0.log,19.8,,36.29,1.0095,70.69,28.09,39.21,,,,,,,,,,C16H25BO2,,-0.28478,0.03203,,0.126375,,,,,,,,,,,,,,,1.57594334,,,,,,0.160415,,1.31224,,,,,,,,,,,,,,,,,0.748898678,-0.06424,,-0.66172
sub1_A24,CCCCC(B1OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,sub1_A24_conf_0.log,19.9,,36.42,1.8452,70.66,27.62,39.03,,,,,,,,,,C17H27BO2,,-0.28521,0.0299,,0.127655,,,,,,,,,,,,,,,1.57461472,,,,,,0.167323,,1.30744,,,,,,,,,,,,,,,,,0.721129641,-0.015685,,-0.64553
sub1_A25,CC(B1OC(C)(C)C(C)(C)O1)C2=CC(C(F)(F)F)=CC=C2,sub1_A25_conf_0.log,17.4,,31.7,3.3176,70.39,27.51,38.8,,,,,,,,,,C15H20BF3O2,,-0.30391,0.00433,,0.14979,,,,,,,,,,,,,,,1.576947193,,,,,,0.173471,,1.29531,,,,,,,,,,,,,,,,,0.680459408,-0.076702,,-0.64387
sub1_A26,CC1(C)C(C)(C)OB(C([Si](C)(C)C)C2=CC=CC=C2)O1,sub1_A26_conf_0.log,14.56,,31.64,1.4013,71.2,28.57,40.06,,,,,,,,,,C16H27BO2Si,,-0.26968,0.0367,,0.11649,,,,,,,,,,,,,,,1.56037004,,,,,,0.198724,,1.28584,,,,,,,,,,,,,,,,,0.762035872,-0.217302,,-1.11712
sub1_A27,CC(B1OC(C)(C)C(C)(C)O1)C2=CC(OC)=CC=C2,sub1_A27_conf_0.log,20.4,,35.4,0.2831,70.44,26.99,38.79,,,,,,,,,,C15H23BO3,,-0.26716,0.02996,,0.1186,,,,,,,,,,,,,,,1.576532125,,,,,,0.168335,,1.30346,,,,,,,,,,,,,,,,,0.680459408,-0.087752,,-0.64246
sub1_A28,O=P(C)(C)C(B1OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,sub1_A28_conf_0.log,11.44,,25.27,3.1971,71.5,30.13,37.88,,,,,,,,,,C15H24BO3P,,-0.28415,0.02575,,0.1292,,,,,,,,,,,,,,,1.578455923,,,,,,0.200501,,1.29617,,,,,,,,,,,,,,,,,0.759833228,-0.211744,,-1.00214
sub1_A29,CC(B1OC(C)(C)C(C)(C)O1)C2=CC(OCC3=CC=CC=C3)=CC=C2,sub1_A29_conf_0.log,19.6,,35.49,1.6148,70.31,27.51,39.02,,,,,,,,,,C21H27BO3,,-0.2679,0.01913,,0.124385,,,,,,,,,,,,,,,1.57536904,,,,,,0.171533,,1.29827,,,,,,,,,,,,,,,,,0.679358087,-0.080031,,-0.64416
sub1_A30,O=P(OCC)(OCC)C(B1OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,sub1_A30_conf_0.log,7.11,,20.93,2.2704,71.74,30.36,37.72,,,,,,,,,,C17H28BO5P,,-0.28564,0.03015,,0.127745,,,,,,,,,,,,,,,1.583035966,,,,,,0.212775,,1.29455,,,,,,,,,,,,,,,,,0.760147892,-0.237343,,-1.01856
sub1_A31,CC(B1OC(C)(C)C(C)(C)O1)C2=CC(OC)=C(OC)C=C2,sub1_A31_conf_1.log,23.4,,37.65,2.861,70.41,26.78,38.69,,,,,,,,,,C16H25BO4,,-0.25701,0.03294,,0.112035,,,,,,,,,,,,,,,1.575383167,,,,,,0.162366,,1.29988,,,,,,,,,,,,,,,,,0.681324733,-0.080306,,-0.63819
sub1_A32,CC1(C)C(C)(C)OB(C(SC2=CC=CC=C2)C3=CC=CC=C3)O1,sub1_A32_conf_0.log,12.18,,25.18,1.6,71.79,29.41,37.3,,,,,,,,,,C19H23BO2S,,-0.25355,0.01734,,0.118105,,,,,,,,,,,,,,,1.580354078,,,,,,0.236072,,1.30172,,,,,,,,,,,,,,,,,0.744493392,-0.174014,,-0.75721
sub1_A33,CC(B1OC(C)(C)C(C)(C)O1)C2=C(C)C=CC=C2,sub1_A33_conf_0.log,18.1,,39.95,1.4683,70.7,29.39,39.21,,,,,,,,,,C15H23BO2,,-0.27952,0.03725,,0.121135,,,,,,,,,,,,,,,1.575639399,,,,,,0.142476,,1.3014,,,,,,,,,,,,,,,,,0.709880428,-0.132837,,-0.66798
sub1_A34,CC1(C)C(C)(C)OB(C(SCC)C2=CC=CC=C2)O1,sub1_A34_conf_0.log,12.33,,28.07,2.5231,71.02,32.04,38.18,,,,,,,,,,C15H23BO2S,,-0.26548,0.0258,,0.11984,,,,,,,,,,,,,,,1.572933587,,,,,,0.269433,,1.27482,,,,,,,,,,,,,,,,,0.715780365,-0.180188,,-0.72228
sub1_A35,CC(B1OC(C)(C)C(C)(C)O1)C2=C(C)C=C(C)C=C2,sub1_A35_conf_0.log,20.9,,42.15,0.9359,70.5,28.32,39.29,,,,,,,,,,C16H25BO2,,-0.2707,0.0352,,0.11775,,,,,,,,,,,,,,,1.577647982,,,,,,0.183203,,1.29891,,,,,,,,,,,,,,,,,0.708071114,-0.108787,,-0.66019
sub1_A36,CC(B1OC(C)(C)C(C)(C)O1)C2=C(C)C=C(C)C=C2C,sub1_A36_conf_0.log,21.8,,41.95,0.9503,70.48,27.27,39.31,,,,,,,,,,C17H27BO2,,-0.26482,0.03507,,0.114875,,,,,,,,,,,,,,,1.575262799,,,,,,0.190018,,1.30718,,,,,,,,,,,,,,,,,0.740166772,-0.09176,,-0.66057
sub1_A37,CC(B1OC(C)(C)C(C)(C)O1)C2=CC(OCO3)=C3C=C2,sub1_A37_conf_0.log,23,,37.72,1.1238,70.28,28.47,39.36,,,,,,,,,,C15H21BO4,,-0.25141,0.03582,,0.107795,,,,,,,,,,,,,,,1.578140733,,,,,,0.166513,,1.2878,,,,,,,,,,,,,,,,,0.682111391,-0.127092,,-0.65393
sub1_A38,CC(B1OC(C)(C)C(C)(C)O1)C2=CC(CCCC3)=C3C=C2,sub1_A38_conf_0.log,22.1,,38.5,1.3643,70.39,26.92,38.86,,,,,,,,,,C18H27BO2,,-0.27024,0.03378,,0.11823,,,,,,,,,,,,,,,1.574732443,,,,,,0.167897,,1.30209,,,,,,,,,,,,,,,,,0.680459408,-0.086662,,-0.64091
sub1_A39,CC(B1OC(C)(C)C(C)(C)O1)C2=CC(C=CC=C3)=C3C=C2,sub1_A39_conf_0.log,17.6,,31.94,1.4589,70.44,26.87,38.78,,,,,,,,,,C18H23BO2,,-0.25969,-0.00654,,0.133115,,,,,,,,,,,,,,,1.576947019,,,,,,0.169105,,1.30151,,,,,,,,,,,,,,,,,0.680066079,-0.09025,,-0.64092
sub1_A40,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=CC3=C2C=CC=C3,sub1_A40_conf_0.log,15.3,,31.3,1.0662,70.62,28.87,39.28,,,,,,,,,,C18H23BO2,,-0.25807,-0.00814,,0.133105,,,,,,,,,,,,,,,1.576132551,,,,,,0.150617,,1.30497,,,,,,,,,,,,,,,,,0.707913782,-0.097296,,-0.66133
sub1_A41,CC(B1OC(C)(C)C(C)(C)O1)C2=CC(C=CN3S(C4=CC=C(C)C=C4)(=O)=O)=C3C=C2,sub1_A41_conf_0.log,21.1,,36.24,6.1646,70.35,26.72,38.81,,,,,,,,,,C23H28BNO4S,,-0.26993,-0.02147,,0.1457,,,,,,,,,,,,,,,1.576376845,,,,,,0.166647,,1.3029,,,,,,,,,,,,,,,,,0.681639396,-0.090121,,-0.63806
sub1_A42,CC1(C)C(C)(C)OB(CC2=CC=CS2)O1,sub1_A42_conf_0.log,19.21,,32.96,2.4178,69.73,29.54,38.54,,,,,,,,,,C11H17BO2S,,-0.27242,0.02825,,0.122085,,,,,,,,,,,,,,,1.574848113,,,,,,0.136087,,1.26292,,,,,,,,,,,,,,,,,0.553964758,0.054247,,-0.84058
sub1_A43,CC1(C)C(C)(C)OB(C(C2=CC=CS2)C3CCCCC3)O1,sub1_A43_conf_0.log,17.15,,34.61,2.1254,71.24,28.25,38.85,,,,,,,,,,C17H27BO2S,,-0.27088,0.02814,,0.12137,,,,,,,,,,,,,,,1.576072099,,,,,,0.163885,,1.31731,,,,,,,,,,,,,,,,,0.764159849,0.029413,,-0.66525
sub1_A44,CC1(C)C(C)(C)OB(CC2=CC=CO2)O1,sub1_A44_conf_0.log,20.15,,34.24,2.2647,69.63,29.71,38.71,,,,,,,,,,C11H17BO3,,-0.26405,0.063,,0.100525,,,,,,,,,,,,,,,1.577538544,,,,,,0.134326,,1.26148,,,,,,,,,,,,,,,,,0.538152926,0.045845,,-0.86377
sub1_A45,CC1(C)C(C)(C)OB(C(C2=CC=CO2)CC3=CC=CC=C3)O1,sub1_A45_conf_0.log,23.22,,34.24,1.2051,70.95,28.98,38.68,,,,,,,,,,C18H23BO3,,-0.26565,0.02186,,0.121895,,,,,,,,,,,,,,,1.577132002,,,,,,0.141042,,1.31265,,,,,,,,,,,,,,,,,0.714443046,-0.011787,,-0.67797
sub1_A46,CC1(C)C(C)(C)OB(C(C2=CC=CO2)(CCC3=CC=CC=C3)C4CC4)O1,sub1_A46_conf_0.log,12.39,,33.56,0.8232,72.31,25.71,38.67,,,,,,,,,,C22H29BO3,,-0.2649,0.03399,,0.115455,,,,,,,,,,,,,,,1.586625733,,,,,,0.247289,,1.35157,,,,,,,,,,,,,,,,,0.85124292,-0.104046,,-0.50188
sub1_A47,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=CC=N2,sub1_A47_conf_0.log,12.53,,30.73,2.6502,69.94,27.7,39.24,,,,,,,,,,C13H20BNO2,,-0.29811,0.01473,,0.14169,,,,,,,,,,,,,,,1.575868973,,,,,,0.174524,,1.29129,,,,,,,,,,,,,,,,,0.671884833,-0.049067,,-0.66203
sub1_A48,CC1(C)C(C)(C)OB(C(C[Si](C)(C2=CC=CC=C2)C)C3=CC=CC=C3)O1,sub1_A48_conf_0.log,14.5,,35.29,0.3157,71.3,27.1,38.55,,,,,,,,,,C22H31BO2Si,,-0.28353,0.02024,,0.131645,,,,,,,,,,,,,,,1.57774256,,,,,,0.124183,,1.32349,,,,,,,,,,,,,,,,,0.784927627,-0.054374,,-0.65235
sub1_A49,C=CCB1OC(C)(C)C(C)(C)O1,sub1_A49_conf_0.log,19.5,,34.58,1.4182,69.33,29.22,39.18,,,,,,,,,,C9H17BO2,,-0.29832,0.06389,,0.117215,,,,,,,,,,,,,,,1.573488784,,,,,,0.153429,,1.26341,,,,,,,,,,,,,,,,,0.529342354,-0.046157,,-0.85501
sub1_B1,CCCCCCCCB1OC(C)(C)C(C)(C)O1,sub1_B1_conf_0.log,34.9,,52.87,0.9156,69.29,30.19,39.81,,,,,,,,,,C14H29BO2,,-0.33499,0.0759,,0.129545,,,,,,,,,,,,,,,1.568831537,,,,,,0.139928,,1.263,,,,,,,,,,,,,,,,,0.577643172,-0.11228,,-0.84813
sub1_B2,CCCCCCCC(C)B1OC(C)(C)C(C)(C)O1,KBDJYSSVQCXKDV-CYBMUJFWSA-N_conf_0.log,36.08,,57.95,0.9843,69.95,28.3,39.8,,,,,,,,,,C15H31BO2,,-0.3349,0.07183,,0.131535,,,,,,,,,,,,,,,1.573484374,,,,,,0.168605,,1.28917,,,,,,,,,,,,,,,,,0.670154185,-0.146272,,-0.64513
sub1_B3,CC(O1)(C)C(C)(C)OB1C([Si](C)(C)C)CC2=CC=CC=C2,WWNMMCRDJUJVBJ-OAHLLOKOSA-N_conf_0.log,23.21,,44.59,0.9785,71.09,30.74,40.15,,,,,,,,,,C17H29BO2Si,,-0.2896,0.02739,,0.131105,,,,,,,,,,,,,,,1.561328841,,,,,,0.190295,,1.3028,,,,,,,,,,,,,,,,,0.768643801,-0.304144,,-1.1354
sub1_B4,CC(O1)(C)C(C)(C)OB1C([Si](C)(C)C)C2CCCC2,FFOZDBNJTNSDDD-CYBMUJFWSA-N_conf_0.log,28.16,,44.97,1.7283,71.02,30.08,40.64,,,,,,,,,,C15H31BO2Si,,-0.31068,0.06896,,0.12086,,,,,,,,,,,,,,,1.559422393,,,,,,0.165053,,1.29481,,,,,,,,,,,,,,,,,0.777454374,-0.200845,,-1.13175
sub1_B5,CC(O1)(C)C(C)(C)OB1C([Si](C)(C)C)CC2CCCCC2,OELBPLAWBRAQIF-HNNXBMFYSA-N_conf_0.log,19.07,,45.97,1.1951,70.71,30.06,40.6,,,,,,,,,,C17H35BO2Si,,-0.31417,0.06598,,0.124095,,,,,,,,,,,,,,,1.562648053,,,,,,0.18909,,1.29272,,,,,,,,,,,,,,,,,0.75471995,-0.297921,,-1.13946
sub1_B6,O=P(C)(C)CB1OC(C)(C)C(C)(C)O1,YBEIAWBBRZVSRW-UHFFFAOYSA-N_conf_0.log,21.6,,34.25,3.5754,69.78,33.37,39.22,,,,,,,,,,C9H20BO3P,,-0.30853,0.06098,,0.123775,,,,,,,,,,,,,,,1.564898269,,,,,,0.097264,,1.24981,,,,,,,,,,,,,,,,,0.588105727,-0.197481,,-1.21516
sub1_B7,O=P(OCC)(OCC)CB1OC(C)(C)C(C)(C)O1,NFTFSMFVSLQJJQ-UHFFFAOYSA-N_conf_0.log,19.22,,30.85,4.7666,70.5,32.38,38.04,,,,,,,,,,C11H24BO5P,,-0.33822,0.07351,,0.132355,,,,,,,,,,,,,,,1.575086009,,,,,,0.162614,,1.25598,,,,,,,,,,,,,,,,,0.566944619,-0.260945,,-1.22492
sub1_B8,O=P(C)(C)C(C)B1OC(C)(C)C(C)(C)O1,sub1_B8_conf_0.log,23.05,,37,4.3642,70.53,31.81,39.33,,,,,,,,,,C10H22BO3P,,-0.30568,0.05957,,0.123055,,,,,,,,,,,,,,,1.567882964,,,,,,0.146561,,1.27762,,,,,,,,,,,,,,,,,0.707284456,-0.299078,,-1.00818
sub1_B9,O=P(OCC)(OCC)C(C)B1OC(C)(C)C(C)(C)O1,sub1_B9_conf_0.log,17.8,,32.94,4.1671,71.52,30.22,37.76,,,,,,,,,,C12H26BO5P,,-0.33432,0.06662,,0.13385,,,,,,,,,,,,,,,1.581712711,,,,,,0.194974,,1.28475,,,,,,,,,,,,,,,,,0.722938955,-0.385744,,-1.02886
sub1_B10,CC1(C)C(C)(C)OB(C(SC2=CC=CC=C2)CC3=CC=CC=C3)O1,sub1_B10_conf_0.log,26.81,,38.31,1.1054,71.25,31.66,38.02,,,,,,,,,,C20H25BO2S,,-0.26738,0.01082,,0.12828,,,,,,,,,,,,,,,1.579050605,,,,,,0.242251,,1.29492,,,,,,,,,,,,,,,,,0.74189742,-0.306752,,-0.73008
sub1_B11,CC1(C)C(C)(C)OB(C(SCC)CC2=CC=CC=C2)O1,sub1_B11_conf_0.log,24.57,,42.05,1.6666,71.32,31.77,38.06,,,,,,,,,,C16H25BO2S,,-0.26402,0.02353,,0.120245,,,,,,,,,,,,,,,1.576604475,,,,,,0.243019,,1.29504,,,,,,,,,,,,,,,,,0.727973568,-0.298231,,-0.74193
sub1_B12,CC(B1OC(C)(C)C(C)(C)O1)SC2=CC=CC=C2,sub1_B12_conf_0.log,19.5,,39.33,1.8097,70.96,30.74,38.31,,,,,,,,,,C14H21BO2S,,-0.25084,0.02735,,0.111745,,,,,,,,,,,,,,,1.580299113,,,,,,0.238244,,1.27937,,,,,,,,,,,,,,,,,0.690371303,-0.324158,,-0.75108
sub1_B13,CC(B1OC(C)(C)C(C)(C)O1)SCC,sub1_B13_conf_0.log,25.86,,43.64,2.5442,70.59,30.66,38.58,,,,,,,,,,C10H21BO2S,,-0.26186,0.0655,,0.09818,,,,,,,,,,,,,,,1.578229366,,,,,,0.224436,,1.27361,,,,,,,,,,,,,,,,,0.670154185,-0.292303,,-0.7331
sub1_B14,CC(B1OC(C)(C)C(C)(C)O1)C#N,sub1_B14_conf_0.log,16.39,,26.47,4.9769,70.9,28.43,37.46,,,,,,,,,,C9H16BNO2,,-0.35052,0.05245,,0.149035,,,,,,,,,,,,,,,1.588059338,,,,,,0.196966,,1.28222,,,,,,,,,,,,,,,,,0.609188169,-0.106652,,-0.71555
sub1_B15,CC1(C)C(C)(C)OB(C(C#N)CC2=CC=CC=C2)O1,sub1_B15_conf_0.log,17.02,,24.89,3.5501,71.16,28.86,37.67,,,,,,,,,,C15H20BNO2,,-0.29726,0.02696,,0.13515,,,,,,,,,,,,,,,1.5866915,,,,,,0.210048,,1.28507,,,,,,,,,,,,,,,,,0.661658276,-0.086845,,-0.71804
sub1_B16,CC(B1OC(C)(C)C(C)(C)O1)[N+]#[C-],sub1_B16_conf_0.log,22.3,,34.01,4.0894,70.15,30.17,37.53,,,,,,,,,,C9H16BNO2,,-0.34654,0.06106,,0.14274,,,,,,,,,,,,,,,1.585801221,,,,,,0.174733,,1.26216,,,,,,,,,,,,,,,,,0.603524229,-0.007338,,-0.42283
sub1_B17,[C-]#[N+]C(B1OC(C)(C)C(C)(C)O1)CC2=CC=CC=C2,sub1_B17_conf_0.log,13.25,,32.39,3.9608,70.67,30.85,37.22,,,,,,,,,,C15H20BNO2,,-0.30424,0.01692,,0.14366,,,,,,,,,,,,,,,1.588007113,,,,,,0.177869,,1.27992,,,,,,,,,,,,,,,,,0.655129012,0.020746,,-0.41726
sub1_B18,CC1(C)C(C)(C)OB(CP(C2=CC=CC=C2)C3=CC=CC=C3)O1,sub1_B18_conf_0.log,21.35,,36.82,0.9963,70.4,33.06,38.76,,,,,,,,,,C19H24BO2P,,-0.26154,0.00765,,0.126945,,,,,,,,,,,,,,,1.570233637,,,,,,0.165675,,1.27065,,,,,,,,,,,,,,,,,0.627281309,-0.252662,,-1.14368
sub1_B19,CC(B1OC(C)(C)C(C)(C)O1)P(C2=CC=CC=C2)C3=CC=CC=C3,sub1_B19_conf_0.log,19.45,,38.9,1.6208,70.82,31.1,39.01,,,,,,,,,,C20H26BO2P,,-0.26649,0.00654,,0.129975,,,,,,,,,,,,,,,1.572317439,,,,,,0.201796,,1.29428,,,,,,,,,,,,,,,,,0.730726872,-0.287683,,-0.91757
